72# Number of electrodes
# x z position for each electrode
0.0	299.29
1.0	299.20
2.0	299.10
3.0	298.98
4.0	298.85
5.0	298.72
6.0	298.58
7.0	298.50
8.0	298.42
9.0	298.32
10.0	298.21
11.0	298.21
12.0	298.21
13.0	298.21
14.0	298.20
15.0	298.19
16.0	298.18
17.0	298.12
18.0	298.05
19.0	297.99
20.0	297.93
21.0	297.84
22.0	297.74
23.0	297.58
24.0	297.42
25.0	297.43
26.0	297.44
27.0	297.38
28.0	297.31
29.0	297.19
30.0	297.06
31.0	296.98
32.0	296.89
33.0	296.73
34.0	296.56
35.0	296.49
36.0	296.41
37.0	296.36
38.0	296.30
39.0	296.21
40.0	296.12
41.0	296.04
42.0	295.95
43.0	295.86
44.0	295.76
45.0	295.67
46.0	295.58
47.0	295.44
48.0	295.29
49.0	295.23
50.0	295.17
51.0	295.17
52.0	295.16
53.0	295.12
54.0	295.08
55.0	295.04
56.0	295.00
57.0	294.98
58.0	294.95
59.0	294.81
60.0	294.66
61.0	294.51
62.0	294.36
63.0	294.48
64.0	294.60
65.0	294.57
66.0	294.54
67.0	294.30
68.0	293.80
69.0	293.70
70.0	293.63
71.0	293.67
2949# Number of data
# a b m n i/mA u/mV
6	13	51	45	137.092601	7.324964
6	13	45	52	137.092601	-8.078401
6	13	52	46	137.092601	6.493913
6	13	46	53	137.092601	-7.495731
6	13	53	47	137.092601	6.147589
6	13	47	54	137.092601	-7.138642
6	13	54	48	137.092601	5.874366
6	13	48	55	137.092601	-6.764965
6	13	55	49	137.092601	5.834369
6	13	49	56	137.092601	-6.594273
6	14	50	58	128.096110	-7.795238
6	14	58	51	128.096110	6.742064
6	14	51	59	128.096110	-7.541711
6	14	59	52	128.096110	6.550109
6	14	52	60	128.096110	-7.473626
6	14	60	53	128.096110	6.347719
6	14	53	61	128.096110	-7.172325
6	14	61	54	128.096110	6.062736
6	14	54	62	128.096110	-6.844177
6	14	62	55	128.096110	5.847131
6	14	55	63	128.096110	-6.422292
6	15	56	65	108.816724	-6.494009
6	15	65	57	108.816724	5.678714
6	15	57	66	108.816724	-6.002289
6	15	66	58	108.816724	5.233594
6	15	58	67	108.816724	-5.615230
6	15	67	59	108.816724	4.719956
6	15	59	68	108.816724	-5.143978
6	15	68	60	108.816724	4.213723
6	15	60	69	108.816724	-4.634468
6	15	69	61	108.816724	3.808630
6	15	61	70	108.816724	-4.126172
7	8	9	10	114.809397	-1755.398169
7	8	10	11	114.809397	-340.383830
7	8	11	12	114.809397	-99.953205
7	8	12	13	114.809397	-42.135347
7	8	13	14	114.809397	-25.589141
7	8	14	15	114.809397	-16.874481
7	9	15	17	160.476573	-46.261303
7	9	17	19	160.476573	-22.757489
7	9	19	21	160.476573	-11.570964
7	9	21	16	160.476573	51.825916
7	9	16	18	160.476573	-30.910663
7	9	18	20	160.476573	-16.249821
7	9	20	22	160.476573	-8.283495
7	10	21	24	167.435872	-17.243875
7	10	24	27	167.435872	-9.259017
7	10	27	22	167.435872	19.849177
7	10	22	25	167.435872	-13.967590
7	10	25	28	167.435872	-7.793276
7	10	28	23	167.435872	15.487911
7	10	23	26	167.435872	-10.891550
7	10	26	29	167.435872	-6.374640
7	11	27	31	121.119799	-7.415847
7	11	31	35	121.119799	-5.898652
7	11	35	28	121.119799	11.326570
7	11	28	32	121.119799	-6.884628
7	11	32	36	121.119799	-5.914032
7	11	36	29	121.119799	10.835441
7	11	29	33	121.119799	-6.478518
7	11	33	30	121.119799	4.634413
7	11	30	34	121.119799	-6.193532
7	12	33	38	166.787059	-12.121011
7	12	38	43	166.787059	-7.339752
7	12	43	34	166.787059	16.698053
7	12	34	39	166.787059	-11.026990
7	12	39	35	166.787059	8.628612
7	12	35	40	166.787059	-10.053249
7	12	40	36	166.787059	7.425942
7	12	36	41	166.787059	-8.955960
7	12	41	37	166.787059	6.747920
7	12	37	42	166.787059	-8.076869
7	13	39	45	156.850525	-10.064736
7	13	45	40	156.850525	8.392874
7	13	40	46	156.850525	-9.849123
7	13	46	41	156.850525	8.051401
7	13	41	47	156.850525	-9.380629
7	13	47	42	156.850525	7.825435
7	13	42	48	156.850525	-9.069817
7	13	48	43	156.850525	7.436771
7	13	43	49	156.850525	-8.355771
7	13	49	44	156.850525	6.608927
7	13	44	50	156.850525	-7.724903
7	14	45	52	145.479441	-9.194761
7	14	52	46	145.479441	7.391464
7	14	46	53	145.479441	-8.476007
7	14	53	47	145.479441	6.943111
7	14	47	54	145.479441	-8.056679
7	14	54	48	145.479441	6.624141
7	14	48	55	145.479441	-7.623543
7	14	55	49	145.479441	6.562639
7	14	49	56	145.479441	-7.418629
7	14	56	50	145.479441	6.144572
7	14	50	57	145.479441	-6.952898
7	15	51	59	122.935771	-7.744559
7	15	59	52	122.935771	6.718170
7	15	52	60	122.935771	-7.680573
7	15	60	53	122.935771	6.516061
7	15	53	61	122.935771	-7.362111
7	15	61	54	122.935771	6.220301
7	15	54	62	122.935771	-7.017725
7	15	62	55	122.935771	5.995849
7	15	55	63	122.935771	-6.586851
7	15	63	56	122.935771	5.708148
7	15	56	64	122.935771	-6.148144
7	16	57	66	158.950078	-9.064935
7	16	66	58	158.950078	7.919217
7	16	58	67	158.950078	-8.351573
7	16	67	59	158.950078	7.011838
7	16	59	68	158.950078	-7.645426
7	16	68	60	158.950078	6.255420
7	16	60	69	158.950078	-6.873784
